Artist,Song,Lyrics
Maroon 5,Girls Like You,"['Spent 24 hours, I need more hours with you', 'You spent the weekend getting even, ooh', 'We spent the late nights making things right between us', '[Pre-Chorus]', '[Pre-Chorus]', ""But now it's all good, babe"", 'Roll that Backwood, babe', 'And play me close', '[Chorus]', '[Chorus]', ""'Cause girls like you run 'round with guys like me"", ""'Til sundown when I come through"", 'I need a girl like you, yeah yeah', 'Girls like you love fun, and yeah, me too', 'What I want when I come through', 'I need a girl like you, yeah yeah', '[Post-Chorus]', '[Post-Chorus]', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you, yeah yeah', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you', '[Verse 2]', '[Verse 2]', 'I spent last night on the last flight to you', 'Took a whole day up tryna get way up, ooh', 'We spent the daylight tryna make things right between us', 'See Maroon 5 Live', ""But now it's all good, babe"", 'Roll that Backwood, babe', 'And play me close', '[Chorus]', '[Chorus]', ""'Cause girls like you run 'round with guys like me"", ""'Til sundown when I come through"", 'I need a girl like you, yeah yeah', 'Girls like you love fun, and yeah, me too', 'What I want when I come through', 'I need a girl like you, yeah yeah', '[Post-Chorus]', '[Post-Chorus]', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you, yeah yeah', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you, yeah yeah', 'I need a girl like you, yeah yeah', 'I need a girl like you', '[Bridge]', '[Bridge]', ""Maybe it's 6:45"", ""Maybe I'm barely alive"", ""Maybe you've taken my shit for the last time (yeah)"", ""Maybe I know that I'm drunk"", ""Maybe I know you're the one"", ""Maybe you're thinking it's better if you drive"", '[Chorus]', ""Oh, 'cause girls like you run 'round with guys like me"", ""'Til sundown when I come through"", 'I need a girl like you, yeah', ""'Cause girls like you run 'round with guys like me"", ""'Til sundown when I come through"", 'I need a girl like you, yeah yeah', 'Girls like you love fun, and yeah, me too', 'What I want when I come through', 'I need a girl like you, yeah yeah', '[Post-Chorus]', '[Post-Chorus]', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you, yeah yeah', 'Yeah yeah yeah, yeah yeah yeah', 'I need a girl like you']"
The Chainsmokers,Paris,"[""We were stayin' in Paris"", 'To get away from your parents', 'And I thought, ""Wow', 'If I could take this in a shot right now', 'I don\'t think that we could work this out""', 'Out on the terrace', ""I don't know if it's fair, but I thought, "", 'Could I let you fall by yourself', 'While I\'m wasted with someone else?""', '[Chorus: Andrew Taggart]', '[Chorus: Andrew Taggart]', 'If we go down, then we go down together', ""They'll say you could do anything"", ""They'll say that I was clever"", 'If we go down, then we go down together', ""We'll get away with everything"", ""Let's show them we are better"", '[Refrain: Andrew Taggart]', '[Refrain: Andrew Taggart]', ""Let's show them we are better"", ""Let's show them we are better"", '[Verse 2: Andrew Taggart]', '[Verse 2: Andrew Taggart]', ""We were stayin' in Paris"", 'To get away from your parents', 'You look so proud', 'Standing there with a frown and a cigarette', ""Postin' pictures of yourself on the Internet"", 'Out on the terrace', 'We breathe in the air of this small town', ""On our own, cuttin' class for the thrill of it"", ""Gettin' drunk on the past we were livin' in"", 'See The Chainsmokers Live', 'If we go down, then we go down together', ""They'll say you could do anything"", ""They'll say that I was clever"", 'If we go down, then we go down together', ""We'll get away with everything"", ""Let's show them we are better"", '[Bridge: Emily Warren & ', '[Bridge: Emily Warren & ', ""Let's show them we are, show them we are"", ""Let's show them we are, show them we are"", ""Let's show them we are better"", ""We were stayin' in Paris"", ""Let's show them we are better"", ""Let's show them we are, show them we are"", ""Let's show them we are, show them we are"", ""Let's show them we are better"", '[Chorus: Andrew Taggart & Emily Warren]', '[Chorus: Andrew Taggart & Emily Warren]', 'If we go down, then we go down together', ""They'll say you could do anything"", ""They'll say that I was clever"", 'If we go down, then we go down together', ""We'll get away with everything"", ""Let's show them we are better"", '[Post-Chorus: Andrew Taggart & ', ""We were stayin' in Paris ("", ""We were stayin' in Paris ("", ""We were stayin' in Paris ("", ""We were stayin' in Paris ("", ""Let's show them we are better"", ""We were stayin' in Paris"", '[Drop: Andrew Taggart & Emily Warren]', '[Drop: Andrew Taggart & Emily Warren]', ""Let's show them we are better"", ""Let's show them we are better"", 'If we go down', ""Let's show them we are better"", 'If we go down', ""Let's show them we are better"", 'If we go down', ""Let's show them we are better"", ""Let's show them we are better""]"
Justin Bieber,Love Yourself,"['[Verse 1]', '[Verse 1]', 'For all the times that you rained on my parade', 'And all the clubs you get in using my name', ""You think you broke my heart, oh girl, for goodness' sake"", ""You think I'm cryin' on my own, well, I ain't"", '[Refrain]', '[Refrain]', ""And I didn't wanna write a song"", ""'Cause I didn't want anyone thinking I still care"", ""I don't, but you still hit my phone up"", ""And baby, I'll be movin' on"", ""And I think you should be somethin' I don't wanna hold back"", 'Maybe you should know that', '[Pre-Chorus]', '[Pre-Chorus]', ""My mama don't like you and she likes everyone"", 'And I never like to admit that I was wrong', ""And I've been so caught up in my job, didn't see what's going on"", ""But now I know, I'm better sleeping on my own"", '[Chorus]', '[Chorus]', ""'Cause if you like the way you look that much"", 'Oh baby, you should go and love yourself', ""And if you think that I'm still holdin' on to somethin'"", 'You should go and love yourself', 'You might also like', 'But when you told me that you hated my friends', 'The only problem was with you and not them', 'And every time you told me my opinion was wrong', 'And tried to make me forget where I came from', '[Refrain]', '[Refrain]', ""And I didn't wanna write a song"", ""'Cause I didn't want anyone thinking I still care"", ""I don't, but you still hit my phone up"", ""And baby, I'll be movin' on"", ""And I think you should be somethin' I don't wanna hold back"", 'Maybe you should know that', '[Pre-Chorus]', '[Pre-Chorus]', ""My mama don't like you and she likes everyone"", 'And I never like to admit that I was wrong', ""And I've been so caught up in my job, didn't see what's going on"", ""But now I know, I'm better sleeping on my own"", '[Chorus]', '[Chorus]', ""'Cause if you like the way you look that much"", 'Oh baby, you should go and love yourself', ""And if you think that I'm still holdin' on to somethin'"", 'You should go and love yourself', '[Bridge]', 'For all the times that you made me feel small', ""I fell in love, now I feel nothin' at all"", 'I never felt so low and I was vulnerable', 'Was I a fool to let you break down my walls?', '[Chorus]', '[Chorus]', ""'Cause if you like the way you look that much"", 'Oh baby, you should go and love yourself', ""And if you think that I'm still holdin' on to somethin'"", 'You should go and love yourself', ""'Cause if you like the way you look that much"", 'Oh baby, you should go and love yourself', ""And if you think that I'm still holdin' on to somethin'"", 'You should go and love yourself', '\n']"
Dua Lipa,Don't Start Now,"[""If you don't wanna see me"", '[Verse 1]', '[Verse 1]', 'Did a full one-eighty, crazy', ""Thinking 'bout the way I was"", 'Did the heartbreak change me? Maybe', 'But look at where I ended up', '[Refrain]', '[Refrain]', ""I'm all good already"", ""So moved on, it's scary"", ""I'm not where you left me at all, so"", '[Pre-Chorus]', '[Pre-Chorus]', ""If you don't wanna see me dancing with somebody"", 'If you wanna believe that anything could stop me', '[Chorus]', '[Chorus]', ""Don't show up, don't come out"", ""Don't start caring about me now"", 'Walk away, you know how', ""Don't start caring about me now"", '[Verse 2]', '[Verse 2]', ""Aren't you the guy who tried to"", 'Hurt me with the word ""goodbye""?', 'Though it took some time to survive you', ""I'm better on the other side"", 'See Dua Lipa Live', ""I'm all good already"", ""So moved on, it's scary"", ""I'm not where you left me at all, so"", '[Pre-Chorus]', '[Pre-Chorus]', ""If you don't wanna see me dancing with somebody"", 'If you wanna believe that anything could stop me', ""(Don't, don't, don't)"", '[Chorus]', '[Chorus]', ""Don't show up, don't come out"", ""Don't start caring about me now"", 'Walk away, you know how', ""Don't start caring about me now ('Bout me now, 'bout me)"", '[Bridge]', '[Bridge]', 'Up, up', ""Don't come out, out, out"", ""Don't show up, up, up"", ""Don't start now (Oh)"", 'Up, up', ""Don't come out, out"", ""I'm not where you left me at all, so"", '[Pre-Chorus]', '[Pre-Chorus]', ""If you don't wanna see me dancing with somebody"", 'If you wanna believe that anything could stop me', '[Chorus]', ""Don't show up (Don't show up), don't come out (Don't come out)"", ""Don't start caring about me now ('Bout me now)"", 'Walk away (Walk away), you know how (You know how)', ""Don't start caring about me now (So)"", '[Outro]', '[Outro]', 'Up, up', ""Don't come out, out, out"", ""Don't show up, up, up"", 'Walk away, walk away (So)', 'Up, up', ""Don't come out, out, out"", ""Don't show up, up, up"", 'Walk away, walk away, oh']"
Cardi B,Bodak Yellow,"['KSR', ""It's Cardi, ayy"", ""Said I'm the shit, they can't fuck with me if they wanted to"", ""I don't gotta dance"", '[Chorus]', '[Chorus]', ""Said lil' bitch, you can't fuck with me if you wanted to"", 'These expensive, these is red bottoms, these is bloody shoes', ""Hit the store, I can get 'em both, I don't wanna choose"", ""And I'm quick, cut a nigga off, so don't get comfortable, look"", ""I don't dance now, I make money moves (Ayy, ayy)"", ""Say I don't gotta dance, I make money move"", ""If I see you and I don't speak, that means I don't fuck with you"", ""I'm a boss, you a worker, bitch, I make bloody moves"", '[Verse 1]', '[Verse 1]', ""Now she say she gon' do what to who? Let's find out and see"", ""Cardi B, you know where I'm at, you know where I be"", ""You in the club just to party, I'm there, I get paid a fee"", ""I be in and out them banks so much, I know they're tired of me"", ""Honestly, don't give a fuck 'bout who ain't fond of me"", 'Dropped two mixtapes in six months', 'What bitch working as hard as me?', ""I don't bother with these hoes, don't let these hoes bother me"", 'They see pictures, they say, ""Goals,"" bitch, I\'m who they tryna be', 'Look, I might just chill in some BAPE', 'I might just chill with your boo, I might just feel on your babe', 'My pussy feel like a lake', 'He wanna swim with his face, I\'m like, ""Okay""', ""I'll let him get what he want, he buy me Yves Saint Laurent"", 'And the new whip, when I go fast as a horse', 'I got the trunk in the front (Vroom, vroom)', ""I'm the hottest in the street, know you prolly heard of me"", ""Got a bag and fixed my teeth, hope you hoes know it ain't cheap"", ""And I pay my mama bills, I ain't got no time to chill"", 'Think these hoes be mad at me, their baby father run a bill', 'You might also like', ""Said lil' bitch, you can't fuck with me if you wanted to"", 'These expensive, these is red bottoms, these is bloody shoes', ""Hit the store, I can get 'em both, I don't wanna choose"", ""And I'm quick, cut a nigga off, so don't get comfortable, look"", ""I don't dance now, I make money moves"", ""Say I don't gotta dance, I make money moves"", ""If I see you and I don't speak, that means I don't fuck with you"", ""I'm a boss, you a worker, bitch, I make bloody moves"", '[Verse 2]', '[Verse 2]', 'If you a pussy, you get popped, you a goofy, you a opp', ""Don't you come around my way, you can't hang around my block"", ""And I just checked my accounts, turns out, I'm rich, I'm rich, I'm rich"", 'I put my hand above my hip, I bet you dip, he dip, she dip', 'I say I get the money and go, this shit is hot like a stove', ""My pussy glitter is gold, tell that lil' bitch play her role"", 'I just arrove in a Rolls, I just came up in a Wraith', 'I need to fill up the tank, no, I need to fill up the safe', 'I need to let all these hoes know that none of their niggas is safe', 'I go to dinner and steak, only the real can relate', ""I used to live in the P's, now it's a crib with a gate"", 'Rollie got charms, look like Frosted Flakes', 'Had to let these bitches know, just in case these hoes forgot', 'I just run and check the mail, another check from Mona Scott', '[Chorus]', ""Said lil' bitch, you can't fuck with me if you wanted to"", 'These expensive, these is red bottoms, these is bloody shoes', ""Hit the store, I can get 'em both, I don't wanna choose"", ""And I'm quick, cut a nigga off, so don't get comfortable, look"", ""I don't dance now, I make money moves"", ""Say I don't gotta dance, I make money move"", ""If I see you and I don't speak, that means I don't fuck with you"", ""I'm a boss, you a worker, bitch, I make bloody moves""]"
Katy Perry,Dark Horse,"[""Yeah, y'all know what it is"", 'Katy Perry, Juicy J', ""Uh-huh, let's rage"", '[Verse 1: Katy Perry]', '[Verse 1: Katy Perry]', 'I knew you were, you were gonna come to me', 'And here you are, but you better choose carefully', ""'Cause I, I'm capable of anything"", 'Of anything, and everything', '[Pre-Chorus: Katy Perry]', '[Pre-Chorus: Katy Perry]', 'Make me your Aphrodite', 'Make me your one and only', ""But don't make me your enemy (Enemy)"", 'Your enemy (Your enemy), your enemy', '[Chorus: Katy Perry]', '[Chorus: Katy Perry]', 'So you wanna play with magic?', ""Boy, you should know what you're fallin' for"", 'Baby, do you dare to do this?', ""'Cause I'm comin' at you like a dark horse"", 'Are you ready for, ready for', 'A perfect storm, perfect storm?', ""'Cause once you're mine, once you're mine"", ""There's no goin' back"", 'You might also like', 'Mark my words, this love will make you levitate', 'Like a bird, like a bird without a cage', ""We're down to earth if you choose to walk away"", ""Don't walk away (Walk away)"", '[Pre-Chorus: Katy Perry]', '[Pre-Chorus: Katy Perry]', ""It's in the palm of your hand now, baby"", ""It's a yes or a no, no maybe"", 'So just be sure before you give it all to me', 'All to me, give it all to me', '[Chorus: Katy Perry]', '[Chorus: Katy Perry]', 'So you wanna play with magic?', ""Boy, you should know what you're fallin' for"", 'Baby, do you dare to do this?', ""'Cause I'm comin' at you like a dark horse"", 'Are you ready for, ready for', 'A perfect storm, perfect storm?', ""'Cause once you're mine, once you're mine"", ""There's no goin' back"", '[Verse 3: Juicy J]', '[Verse 3: Juicy J]', ""She's a beast, I call her Karma (Come back)"", 'She eat your heart out like Jeffrey Dahmer (Woo)', 'Be careful, try not to lead her on', ""Shawty heart is on steroids 'cause her love is so strong"", 'You may fall in love when you meet her (Meet her)', 'If you get the chance, you better keep her (Keep her)', ""She's sweet as pie, but if you break her heart"", 'She turn cold as a freezer (Freezer)', 'That fairy tale ending with a knight in shining armor', ""She can be my sleepin' beauty, I'm gon' put her in a coma (Woo)"", ""Damn, I think I love her, shawty so bad, I'm sprung and I don't care"", 'She ride me like a roller coaster, turn the bedroom into a fair (A fair)', 'Her love is like a drug, I was tryna hit it and quit it', ""But lil' mama so dope, I messed around and got addicted"", '[Chorus: Katy Perry]', 'So you wanna play with magic?', ""Boy, you should know what you're fallin' for (You should know)"", 'Baby, do you dare to do this?', ""'Cause I'm comin' at you like a dark horse (Like a dark horse)"", 'Are you ready for, ready for (Ready for)', 'A perfect storm, perfect storm? (A perfect storm)', ""'Cause once you're mine, once you're mine (Mine)"", ""There's no goin' back"", '[Produced by Max Martin and Dr. Luke]', '[Produced by Max Martin and Dr. Luke]', '[Video directed by Matthew Cullen]']"
Sia,Elastic Heart,"[""I won't give up, I won't give up"", ""I won't give up, I won't give up"", '[Verse 1]', '[Verse 1]', 'And another one bites the dust', 'Oh, why can I not conquer love?', 'And I might have thought that we were one', 'Wanted to fight this war without weapons', 'And I wanted it, I wanted it bad', 'But there were so many red flags', 'Now another one bites the dust', ""Yeah, let's be clear, I'll trust no one"", '[Pre-Chorus]', '[Pre-Chorus]', 'You did not break me', ""I'm still fighting for peace"", '[Chorus]', '[Chorus]', ""Well, I've got thick skin and an elastic heart"", 'But your blade, it might be too sharp', ""I'm like a rubber band until you pull too hard"", 'Yeah, I may snap and I move fast', ""But you won't see me fall apart"", ""'Cause I've got an elastic heart"", 'You might also like', ""I've got an elastic heart"", ""Yeah, I've got an elastic heart"", '[Verse 2]', '[Verse 2]', 'And I will stay up through the night', ""Yeah, let's be clear, won't close my eyes"", 'And I know that I can survive', ""I'll walk through fire to save my life"", 'And I want it, I want my life so bad', ""I'm doin' everythin' I can"", 'And another one bites the dust', ""It's hard to lose a chosen one"", '[Pre-Chorus]', '[Pre-Chorus]', 'You did not break me', ""I'm still fighting for peace"", '[Chorus]', '[Chorus]', ""Well, I've got thick skin and an elastic heart"", 'But your blade, it might be too sharp', ""I'm like a rubber band until you pull too hard"", 'Yeah, I may snap and I move fast', ""But you won't see me fall apart"", ""'Cause I've got an elastic heart"", '[Bridge]', 'Oh, oh-oh-oh-oh-oh, oh-oh-oh-oh', 'Oh-oh-oh-oh', 'Oh, oh-oh-oh-oh-oh, oh-oh-oh-oh', 'Oh-oh-oh-oh', '[Chorus]', '[Chorus]', ""Well, I've got thick skin and an elastic heart"", 'But your blade, it might be too sharp', ""I'm like a rubber band until you pull too hard"", 'Yeah, I may snap and I move fast', ""But you won't see me fall apart"", ""'Cause I've got an elastic heart"", ""Well, I've got thick skin and an elastic heart (Woah, woah)"", 'But your blade, it might be too sharp', ""I'm like a rubber band until you pull too hard (Woah, woah)"", 'Yeah, I may snap and I move fast', ""But you won't see me fall apart (Woah, woah)"", ""'Cause I've got an elastic heart (Woah, woah)"", '[Outro]', '[Outro]', ""I've got an elastic heart""]"
Bruno Mars,Just the Way You Are,"['Oh, oh-oh-oh', 'Oh-oh-oh-oh', 'Oh-oh-oh', '[Verse 1]', '[Verse 1]', 'Oh, her eyes, her eyes', ""Make the stars look like they're not shinin'"", 'Her hair, her hair', ""Falls perfectly without her tryin'"", ""She's so beautiful"", 'And I tell her every day', 'Yeah, I know, I know', ""When I compliment her, she won't believe me"", ""And it's so, it's so sad to think that she don't see what I see"", 'But every time she asks me, ""Do I look okay?"" I say', '[Chorus]', '[Chorus]', 'When I see your face (Face, face)', ""There's not a thing that I would change"", ""'Cause you're amazing (Amazing)"", 'Just the way you are (Are)', 'And when you smile (Smile, smile)', 'The whole world stops and stares for a while', ""'Cause, girl, you're amazing (Amazing)"", 'Just the way you are (Are)', 'Yeah', 'See Bruno Mars Live', 'Her lips, her lips', ""I could kiss them all day if she'd let me"", 'Her laugh, her laugh', ""She hates, but I think it's so sexy"", ""She's so beautiful, and I tell her every day"", 'Oh, you know, you know, you know', ""I'd never ask you to change"", ""If perfect's what you're searching for"", 'Then just stay the same', ""So don't even bother askin' if you look okay"", ""You know I'll say"", '[Chorus]', '[Chorus]', 'When I see your face (Face, face)', ""There's not a thing that I would change"", ""'Cause you're amazing (Amazing)"", 'Just the way you are (Are)', 'And when you smile (Smile, smile)', 'The whole world stops and stares for a while', ""'Cause, girl, you're amazing (Amazing)"", 'Just the way you are (Are)', '[Bridge]', '[Bridge]', 'The way you are', 'The way you are', ""Girl, you're amazing (Amazing)"", 'Just the way you are (Are)', '[Chorus]', 'When I see your face', ""There's not a thing that I would change"", ""'Cause you're amazing (Amazing)"", 'Just the way you are (Are)', 'And when you smile', 'The whole world stops and stares for a while', ""'Cause, girl, you're amazing"", 'Just the way you are', '[Outro]', '[Outro]', 'Yeah', '\nMars professes his love…“When you smile, the whole world stops and stares for a while/ ‘Cause girl you’re amazing, just the way you are”. She concludes, “Mars’ lyrics aim to make female listeners feel nothing short of perfect in their own skin”.']"
Lizzo,Good as Hell,"['I do my hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", '[Verse 1]', '[Verse 1]', 'Woo, child, tired of the bullshit', 'Go on, dust your shoulders off, keep it moving', 'Yes, Lord, tryna get some new shit', 'In there, swimwear, going-to-the-pool shit', 'Come now, come dry your eyes', 'You know you a star, you can touch the sky', ""I know that it's hard, but you have to try"", 'If you need advice, let me simplify', '[Pre-Chorus]', '[Pre-Chorus]', ""If he don't love you anymore"", 'Just walk your fine ass out the door', '[Chorus]', '[Chorus]', 'I do my hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", '(Feeling good as hell)', ""Baby, how you feelin'? (Feelin' good as hell)"", 'You might also like', 'Woo, girl, need to kick off your shoes', 'Gotta take a deep breath, time to focus on you', 'All the big fights, long nights that you been through', 'I got a bottle of tequila I been saving for you', 'Boss up and change your life', 'You can have it all, no sacrifice', 'I know he did you wrong, we can make it right', 'So go and let it all hang out tonight', '[Pre-Chorus]', '[Pre-Chorus]', ""'Cause he don't love you anymore"", 'So walk your fine ass out the door', '[Chorus]', '[Chorus]', 'And do your hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell) (And we gon' be alright)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", '[Pre-Chorus]', '[Pre-Chorus]', 'Mmm, yeah, alright', ""Listen, if he don't love you anymore"", 'Then walk your fine ass out the door', '[Chorus]', 'And do your hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell) (Woo-hoo)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell) (Show it off tonight)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell) (And we gon' make it right)"", 'Hair toss, check my nails', ""Baby, how you feelin'? (Feelin' good as hell)"", ""(Feelin' good as hell)"", ""Baby, how you feelin'? (Feelin' good as hell)""]"
Shawn Mendes,In My Blood,"[""Help me, it's like the walls are cavin' in"", ""Sometimes, I feel like givin' up"", ""But I just can't"", ""It isn't in my blood"", '[Verse 1]', '[Verse 1]', ""Layin' on the bathroom floor, feelin' nothin'"", ""I'm overwhelmed and insecure, give me somethin'"", 'I could take to ease my mind slowly', ""Just have a drink and you'll feel better"", ""Just take her home and you'll feel better"", ""Keep tellin' me that it gets better"", 'Does it ever?', '[Pre-Chorus]', '[Pre-Chorus]', 'Help me', ""It's like the walls are cavin' in"", ""Sometimes, I feel like givin' up"", 'No medicine is strong enough', 'Someone help me', ""I'm crawlin' in my skin"", ""Sometimes, I feel like givin' up"", ""But I just can't"", '[Chorus]', '[Chorus]', ""It isn't in my blood"", ""It isn't in my blood"", 'You might also like', ""I'm lookin' through my phone again, feelin' anxious"", 'Afraid to be alone again, I hate this', ""I'm tryin' to find a way to chill, can't breathe, oh"", 'Is there somebody who could help me?', '[Pre-Chorus]', '[Pre-Chorus]', ""It's like the walls are cavin' in"", ""Sometimes, I feel like givin' up"", 'No medicine is strong enough', 'Someone help me', ""I'm crawlin' in my skin"", ""Sometimes, I feel like givin' up"", ""But I just can't"", '[Chorus]', '[Chorus]', ""It isn't in my blood"", ""It isn't in my blood (Ey)"", '[Bridge]', '[Bridge]', 'I need somebody now', 'I need somebody now', 'Someone to help me out', 'I need somebody now', '[Pre-Chorus]', '[Pre-Chorus]', ""Help me, it's like the walls are cavin' in"", ""Sometimes, I feel like givin' up"", ""But I just can't"", '[Chorus]', ""It isn't in my blood (Ooh-ooh)"", ""It isn't in my blood, ohh (Ooh, ooh)"", '[Outro]', '[Outro]', ""It isn't in my blood (Ooh-ooh)"", 'I need somebody now (Ooh-ooh)', ""It isn't in my blood (Ooh-ooh)"", 'I need somebody now', ""It isn't in my blood""]"
Panic! At The Disco,I Write Sins Not Tragedies,"['Oh, well, imagine', ""As I'm pacing the pews in a church corridor"", ""And I can't help but to hear"", ""No, I can't help but to hear an exchanging of words"", '""What a beautiful wedding!', 'What a beautiful wedding!”, says a bridesmaid to a waiter', '""And yes, but what a shame, what a shame', 'The poor groom\'s bride is a whore""', '[Chorus]', '[Chorus]', 'I chimed in with a, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of poise and rationality', 'I chimed in, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of', '[Verse 2]', '[Verse 2]', 'Oh, well, in fact', ""Well, I'll look at it this way"", 'I mean, technically our marriage is saved', 'Well, this calls for a toast, so pour the champagne', 'Oh! Well, in fact', ""Well, I'll look at it this way"", 'I mean, technically our marriage is saved', 'Well, this calls for a toast, so pour the champagne', 'Pour the champagne', 'You might also like', 'I chimed in with a, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of poise and rationality', 'I chimed in, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of', '[Post-Chorus]', '[Post-Chorus]', 'Poise and rationality', 'Again', '[Chorus]', '[Chorus]', 'I chimed in, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of poise and rationality', 'I chimed in, ""Haven\'t you people ever heard of', 'Closing the goddamn door?!""', ""No, it's much better to face these kinds of things"", 'With a sense of', '[Post-Chorus]', '[Post-Chorus]', 'Poise and rationality', 'Again', ""[Click here to read about Panic! At The Disco's first live performance of “I Write Sins Not Tragedies”]"", '[Click here to read about the music video]', '[Click here to read about the music video]']"
Adele,Send My Love (To Your New Lover),"['Just the guitar', 'Okay, cool', '[Verse 1]', '[Verse 1]', 'This was all you, none of it me', 'You put your hands on, on my body and told me, mmm', 'You told me you were ready', 'For the big one, for the big jump', ""I'd be your last love, everlasting, you and me, mmm"", 'That was what you told me', '[Pre-Chorus]', '[Pre-Chorus]', ""I'm giving you up"", ""I've forgiven it all"", 'You set me free', '[Chorus]', '[Chorus]', 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", 'You might also like', 'I was too strong, you were trembling', ""You couldn't handle the hot heat rising (Rising), mmm"", ""Baby, I'm still rising"", 'I was running, you were walking', ""You couldn't keep up, you were falling down (Down), mmm"", ""There's only one way down"", '[Pre-Chorus]', '[Pre-Chorus]', ""I'm giving you up"", ""I've forgiven it all"", 'You set me free, oh', '[Chorus]', '[Chorus]', 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", '[Bridge]', '[Bridge]', ""If you're ready, if you're ready"", ""If you're ready, I am ready"", ""If you're ready, if you're ready"", ""We both know we ain't kids no more"", ""No, we ain't kids no more"", '[Pre-Chorus]', ""I'm giving you up"", ""I've forgiven it all"", 'You set me free', '[Chorus]', '[Chorus]', 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", 'Send my love to your new lover', 'Treat her better', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", '[Outro]', '[Outro]', ""If you're ready, if you're ready"", '(Send my love to your new lover)', ""If you're ready, are you ready?"", '(Treat her better)', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more"", ""If you're ready, if you're ready"", '(Send my love to your new lover)', ""If you're ready, are you ready?"", '(Treat her better)', ""We've gotta let go of all of our ghosts"", ""We both know we ain't kids no more""]"
Rihanna,We Found Love,"[""It's like you're screaming, and no one can hear"", 'You almost feel ashamed, that someone could be that important', 'That without them, you feel like nothing', 'No one will ever understand how much it hurts', 'You feel hopeless, like nothing can save you', ""And when it's over and it's gone"", 'You almost wish you could have all that bad stuff back', 'So that you could have the good', '[Verse 1: Rihanna]', '[Verse 1: Rihanna]', 'Yellow diamonds in the light', ""And we're standing side by side"", 'As your shadow crosses mine', 'What it takes to come alive', '[Pre-Chorus: Rihanna]', '[Pre-Chorus: Rihanna]', ""It's the way I'm feeling, I just can't deny"", ""But I've gotta let it go"", '[Chorus: Rihanna]', '[Chorus: Rihanna]', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', 'You might also like', '[Verse 2: Rihanna]', '[Verse 2: Rihanna]', 'Shine a light through an open door', 'Love and life, I will divide', ""Turn away 'cause I need you more"", 'Feel the heartbeat in my mind', '[Pre-Chorus: Rihanna]', '[Pre-Chorus: Rihanna]', ""It's the way I'm feeling, I just can't deny"", ""But I've gotta let it go"", '[Chorus: Rihanna]', '[Chorus: Rihanna]', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', '[Bridge: Rihanna]', '[Bridge: Rihanna]', 'Yellow diamonds in the light', ""And we're standing side by side"", 'As your shadow crosses mine', '[Chorus: Rihanna]', '[Chorus: Rihanna]', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', '[Instrumental Drop]', '[Chorus: Rihanna]', '[Chorus: Rihanna]', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place', 'We found love in a hopeless place']"
